latitude,longitude,name,location,type
5.4344234,7.0127128,Otamiri,OWERRI WEST (NEKEDE),4 Star
5.4402984,7.006402,Nekede Zoo,NO 2 OLD NEKEDE ROAD ,5 Star
5.4733659,7.0192671,Imo concorde hotel,PLOT 3716 OFF PORT HAR-,6 Star
5.4739586,7.013978,Imo house of Assembly,OFF PORT HARCOURT ROAD,7 Star
5.4890303,7.0206452,Maria assumpta Cathedra,ASSUMPTA AVENUE CON-,8 Star
5.4831565,7.0405294,Dan Anyiam Stadium,WETHRAL ROAD OWERRI,9 Star
5.4934754,7.0375355,Mbari Cultural art,IKENEGBU OWERRI,4 Star
5.4716717,7.0175,All seasons hotel,PLOT 5047-5049 COMMERCIAL,1 Star
5.4695177,7.0123915,Villa garden hotel,PLOT 5028 COMMERCIAL ,2 Star
5.4735034,7.0160867,De Legend hotel,NEW OWERRI COMMERCIAL,3 Star
5.4733009,7.0156983,Links hotel,PLOT 5043 NEW OWERRI ,5 Star
5.4671901,7.0200233,Forever hotel,EMMANUEL K UZO AVENUE,4 Star
5.4700601,7.0137417,Suncity and boom hotel,NEW OWERRI BY 40 40,4 Star
5.4689584,7.0124866,Roselife hotel,AREA B NEW OWERRI,3 Star
5.4641101,7.01131,Bay view hotel,AREA B NEW OWERRI,1 Star
5.4707351,7.0134633,Star arrival Hotel,PLOT 5032 AREA B,1 Star
5.4665834,7.02036,Oxygen and resort hotel,EMMANUEL K UZO AVENUE,0 Star
5.4689134,7.0110817,Skyrose hotel,AREA B NEW OWERRI,2 Star
5.4737728,7.0192571,Children Amusement park,CONCORDE AVENUE NEW ,2 Star
5.4330952,7.0364425,FPNO exhibition centre,FEDERAL POLY NEKEDE OWERRI,3 Star
5.4587645,7.0272974,Akachi monument,WETHRAL ROAD OWERRI,4 Star
5.4323312,7.0183445,Lekkis Park hotel,POLY JUNCTION NEKEDE,3 Star
